Name,Country,Region,Winery,Rating,NumberOfRatings,Year,Price
Pessac-Léognan (Grand Cru Classé de Graves) 2005,France,Pessac-Léognan,Château Smith Haut-Lafitte,4.4,1066,2005,169.95
Cabernet Sauvignon 2013,Mexico,Valle de Guadalupe,L. A. Cetto,3.4,1066,2013,8.65
Malbec 2017,Argentina,Mendoza,Catena,4.1,10676,2017,13.50
Saint-Estèphe (Grand Cru Classé) 2009,France,Saint-Estèphe,Château Lafon-Rochet,4.2,1069,2009,75.98
Amarone della Valpolicella Classico 2014,Italy,Amarone della Valpolicella Classico,Bolla,4.1,1069,2014,28.99
Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2014,France,Saint-Émilion Grand Cru,Château Belair-Monange,4.0,107,2014,130.97
Margaux (Grand Cru Classé) 2017,France,Margaux,Château Lascombes,4.0,107,2017,86.76
Pauillac (Grand Cru Classé) 2017,France,Pauillac,Château d'Armailhac,3.9,107,2017,52.64
Figure Libre Freestyle Rouge 2018,France,Pays d'Oc,Gayda,3.7,107,2018,11.45
Pinot Noir 2018,France,Pays d'Oc,La Forge Estate,3.6,107,2018,7.27
Tinto 2018,Spain,Alicante,Vergel,3.6,107,2018,7.35
Les Coteaux Cabernet Sauvignon 2015,South Africa,Wellington,Mont du Toit,3.8,107,2015,11.50
Mayro Montepulciano d'Abruzzo 2015,Italy,Montepulciano d'Abruzzo,Fosso Corno,3.7,107,2015,7.75
Barbera d'Alba 2018,Italy,Barbera d'Alba,Comm. G.B. Burlotto,3.9,107,2018,17
Blauer Spätburgunder 2015,Germany,Baden,Ziereisen,3.7,107,2015,11.31
Promontory 2013,United States,Napa Valley,Promontory,4.7,107,2013,721.34
Tempranillo - Merlot 2015,Spain,Ribera del Duero,Rolland & Galarreta 'R&G',3.7,107,2015,13.95
Sankt Laurent 2017,Austria,Burgenland,Umathum,3.6,107,2017,13.20
Gigondas 2017,France,Gigondas,M. Chapoutier,3.9,107,2017,24.80
Driopi Classic Agiorgitiko Nemea 2017,Greece,Nemea,Κτημα Τσελεπου (Ktima Tselepos),3.7,107,2017,11.50
Magna Malbec 2018,Argentina,San Juan,Callia,3.5,107,2018,8.95
Nero 2010,Italy,Salento,Conti Zecca,4.0,107,2010,25.12
Salice Salentino 2017,Italy,Salice Salentino,Epicuro,3.6,107,2017,6.25
Valpolicella Superiore 2014,Italy,Valpolicella,Rocca Sveva,3.7,107,2014,15.84
Gevrey-Chambertin 2015,France,Gevrey-Chambertin,Chanson,4.1,107,2015,50.90
Pago de los Balagueses Garnacha Tintorera - Merlot 2014,Spain,Valencia,Vegalfaro,3.8,107,2014,16.90
Barolo Liste 2013,Italy,Barolo,Borgogno,4.2,107,2013,80.01
Adrianna Vineyard Fortuna Terrae Malbec 2016,Argentina,Mendoza,Catena Zapata,4.6,107,2016,89.90
Malbec de Purcari 2018,Moldova,South Eastern,Château Purcari,4.1,107,2018,11.98
Esprit de Granit Saint-Joseph 2012,France,Saint-Joseph,Cave de Tain,4.0,107,2012,27.93
Bachgart Blauburgunder 2016,Italy,Südtirol - Alto Adige,Klaus Lentsch,3.8,107,2016,19.90
Crianza 2016,Spain,Rioja,Campo Viejo,3.5,1070,2016,7.99
Margaux de Brane (Margaux de Henri Lurton) 2014,France,Margaux,Château Brane-Cantenac,3.8,1070,2014,34.20
Shiraz 2017,South Africa,Swartland,Allesverloren,3.6,1070,2017,10.90
Rubesco Rosso di Torgiano 2016,Italy,Torgiano,Lungarotti,3.7,1071,2016,9.80
Yamhill Cuvée Pinot Noir 2014,United States,Willamette Valley,Domaine Serene,4.3,1071,2014,59
Gran Enemigo 2015,Argentina,Mendoza,El Enemigo,4.5,1072,2015,62.39
Macán Clásico 2015,Spain,Rioja,Benjamin de Rothschild - Vega Sicilia,4.3,1073,2015,48.54
Zinfandel 2016,United States,North Coast,Ghost Pines,3.9,1075,2016,17.29
Reserve Malbec 2016,Argentina,Tupungato,Sophenia,3.8,1076,2016,13.09
Saint-Estèphe 2011,France,Saint-Estèphe,Château de Pez,3.9,1077,2011,36.90
Rosso di Montalcino Leopoldo Franceschi 2014,Italy,Rosso di Montalcino,Tenuta Il Poggione,3.9,1077,2014,21.34
Saint-Estèphe (Grand Cru Classé) 2005,France,Saint-Estèphe,Château Lafon-Rochet,4.1,1077,2005,79.95
Diamond Collection Zinfandel (Red Label) 2016,United States,Napa Valley,Francis Ford Coppola,3.9,1078,2016,21.39
Overture N.V.,United States,Napa Valley,Opus One,4.4,10799,N.V.,154.99
Nèprica Cabernet Sauvignon 2018,Italy,Puglia,Tormaresca,3.5,108,2018,8.33
